provider,threshold_quantile,threshold,window_minutes,metric,method,estimate,test_events
Alibaba 2018,0.95,0.5754546775895318,60,event_recall,snapshot,0.41025641025641024,39
Alibaba 2018,0.95,0.5754546775895318,60,event_recall,mean,0.1794871794871795,39
Alibaba 2018,0.95,0.5754546775895318,60,event_recall,p95,0.6666666666666666,39
Alibaba 2018,0.95,0.5754546775895318,60,event_recall,maximum,1.0,39
Alibaba 2018,0.95,0.5754546775895318,60,forecast_average_precision,persistence,0.4295634920634921,12
Alibaba 2018,0.95,0.5754546775895318,60,forecast_average_precision,two_snapshots,0.6218806048217813,12
Alibaba 2018,0.95,0.5754546775895318,60,forecast_average_precision,satcap,0.7176219205630969,12
Alibaba 2018,0.99,0.6564302134365159,60,event_recall,snapshot,0.2222222222222222,9
Alibaba 2018,0.99,0.6564302134365159,60,event_recall,mean,0.0,9
Alibaba 2018,0.99,0.6564302134365159,60,event_recall,p95,1.0,9
Alibaba 2018,0.99,0.6564302134365159,60,event_recall,maximum,1.0,9
Alibaba 2018,0.99,0.6564302134365159,60,forecast_average_precision,persistence,0.04301437556154537,3
Alibaba 2018,0.99,0.6564302134365159,60,forecast_average_precision,two_snapshots,0.07768318637883856,3
Alibaba 2018,0.99,0.6564302134365159,60,forecast_average_precision,satcap,0.26363636363636367,3
Alibaba 2018,0.8,0.4785402778800099,120,event_recall,snapshot,0.45614035087719296,57
Alibaba 2018,0.8,0.4785402778800099,120,event_recall,mean,0.2982456140350877,57
Alibaba 2018,0.8,0.4785402778800099,120,event_recall,p95,0.7719298245614035,57
Alibaba 2018,0.8,0.4785402778800099,120,event_recall,maximum,1.0,57
Alibaba 2018,0.8,0.4785402778800099,120,forecast_average_precision,persistence,0.8418367346938775,21
Alibaba 2018,0.8,0.4785402778800099,120,forecast_average_precision,two_snapshots,0.9628717648675635,21
Alibaba 2018,0.8,0.4785402778800099,120,forecast_average_precision,satcap,0.9564192144046673,21
Alibaba 2018,0.9,0.5363382252188952,120,event_recall,snapshot,0.41025641025641024,39
Alibaba 2018,0.9,0.5363382252188952,120,event_recall,mean,0.15384615384615385,39
Alibaba 2018,0.9,0.5363382252188952,120,event_recall,p95,0.6410256410256411,39
Alibaba 2018,0.9,0.5363382252188952,120,event_recall,maximum,1.0,39
Alibaba 2018,0.9,0.5363382252188952,120,forecast_average_precision,persistence,0.7207792207792207,12
Alibaba 2018,0.9,0.5363382252188952,120,forecast_average_precision,two_snapshots,0.7809462893344473,12
Alibaba 2018,0.9,0.5363382252188952,120,forecast_average_precision,satcap,0.8476565373624197,12
Alibaba 2018,0.95,0.5754546775895318,120,event_recall,snapshot,0.2692307692307692,26
Alibaba 2018,0.95,0.5754546775895318,120,event_recall,mean,0.038461538461538464,26
Alibaba 2018,0.95,0.5754546775895318,120,event_recall,p95,0.6923076923076923,26
Alibaba 2018,0.95,0.5754546775895318,120,event_recall,maximum,1.0,26
Alibaba 2018,0.95,0.5754546775895318,120,forecast_average_precision,persistence,0.49776785714285715,8
Alibaba 2018,0.95,0.5754546775895318,120,forecast_average_precision,two_snapshots,0.7728383458646617,8
Alibaba 2018,0.95,0.5754546775895318,120,forecast_average_precision,satcap,0.8010110294117647,8
Alibaba 2018,0.99,0.6564302134365159,120,event_recall,snapshot,0.0,8
Alibaba 2018,0.99,0.6564302134365159,120,event_recall,mean,0.0,8
Alibaba 2018,0.99,0.6564302134365159,120,event_recall,p95,1.0,8
Alibaba 2018,0.99,0.6564302134365159,120,event_recall,maximum,1.0,8
Alibaba 2018,0.99,0.6564302134365159,120,forecast_average_precision,persistence,0.07692307692307693,2
Alibaba 2018,0.99,0.6564302134365159,120,forecast_average_precision,two_snapshots,0.14285714285714285,2
Alibaba 2018,0.99,0.6564302134365159,120,forecast_average_precision,satcap,0.14285714285714285,2
