analysis,resource,feature_set,train_panel,test_panel,train_n,test_n,test_events,prevalence,average_precision,brier,roc_auc,ece_10
frozen_faststorage_to_rnd,memory,maximum_count,GWA-T-12-fastStorage,GWA-T-12-Rnd,547362,292190,437,0.001495602176665868,0.3728195625609789,0.0011466570623923753,0.7928580240608374,0.000588463921714913
independent_rnd,disk,persistence,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,32274,0.10994753696259453,0.18877959965227498,0.09315640750006128,0.6299044659068778,0.018583970950200698
frozen_faststorage_to_rnd,disk,persistence,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,32274,0.10994753696259453,0.18877959965227498,0.09293485048600325,0.6299044659068778,0.01627372698574169
independent_rnd,disk,snapshot,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,32274,0.10994753696259453,0.24770982952896053,0.09460240061346376,0.669153035397444,0.019328612273501564
frozen_faststorage_to_rnd,disk,snapshot,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,32274,0.10994753696259453,0.24770786788053417,0.09463768796439101,0.6691511776156254,0.01055227140780634
independent_rnd,disk,two_snapshots,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,32274,0.10994753696259453,0.30293071701882496,0.08994469098623059,0.6714302890520988,0.01409908820245681
frozen_faststorage_to_rnd,disk,two_snapshots,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,32274,0.10994753696259453,0.29743953525925826,0.09000506588278487,0.6704225383583631,0.010018651278381672
independent_rnd,disk,maximum,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,32274,0.10994753696259453,0.23275875986115302,0.09316148893172388,0.7038907908518783,0.01856136466119456
frozen_faststorage_to_rnd,disk,maximum,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,32274,0.10994753696259453,0.23275877853839605,0.09293377987699884,0.7038907926307947,0.016227944846953297
independent_rnd,disk,count,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,32274,0.10994753696259453,0.26537870982911227,0.08797929541784136,0.6340466378596137,0.01240159686292121
frozen_faststorage_to_rnd,disk,count,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,32274,0.10994753696259453,0.26537870982911227,0.08780813654967759,0.6340466378596137,0.01499722744492157
independent_rnd,disk,maximum_count,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,32274,0.10994753696259453,0.2951770424235858,0.08737354300653737,0.5601057349981617,0.012446618755965224
frozen_faststorage_to_rnd,disk,maximum_count,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,32274,0.10994753696259453,0.2951770552823084,0.08726215340056043,0.5601057351760534,0.01026797768022566
independent_rnd,network,persistence,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,21152,0.07205832254547932,0.2338701672848335,0.0575090359601188,0.698491769796675,0.012643405047478608
frozen_faststorage_to_rnd,network,persistence,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,21152,0.07205832254547932,0.2338701672848335,0.05710018030427957,0.698491769796675,0.0073195538990600845
independent_rnd,network,snapshot,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,21152,0.07205832254547932,0.2662429321336512,0.06145275790745441,0.7420979458153456,0.013711594992136845
frozen_faststorage_to_rnd,network,snapshot,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,21152,0.07205832254547932,0.15855188708934917,0.06023632319346252,0.45629612563545946,0.00645283109828446
independent_rnd,network,two_snapshots,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,21152,0.07205832254547932,0.31518024458347554,0.057954391182171,0.7432027783554926,0.011364266863378391
frozen_faststorage_to_rnd,network,two_snapshots,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,21152,0.07205832254547932,0.31355967604082413,0.0577454464665049,0.7419486795841552,0.008217273166528281
independent_rnd,network,maximum,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,21152,0.07205832254547932,0.21799823913796654,0.05758791349208038,0.5866974622077873,0.012789004384786005
frozen_faststorage_to_rnd,network,maximum,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,21152,0.07205832254547932,0.21799821302873645,0.05742290673879116,0.5866974515335782,0.007787968303895991
independent_rnd,network,count,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,21152,0.07205832254547932,0.3382919024650876,0.05540738490293641,0.7021176000786633,0.012376980862599073
frozen_faststorage_to_rnd,network,count,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,21152,0.07205832254547932,0.3382919024650876,0.05535772509254093,0.7021176000786633,0.015298548598273223
independent_rnd,network,maximum_count,GWA-T-12-Rnd,GWA-T-12-Rnd,685370,293540,21152,0.07205832254547932,0.35553994961937535,0.053485002122013986,0.5916957592149577,0.008019489432057785
frozen_faststorage_to_rnd,network,maximum_count,GWA-T-12-fastStorage,GWA-T-12-Rnd,561187,293540,21152,0.07205832254547932,0.35618591047308706,0.05369612169348911,0.5917069878754815,0.0057522171746463525
