trial,worker,mode,sample,window,cpu,memory
0,0,raw,59,2,0.079,0.77197265625
0,0,raw,60,3,0.8,0.8308919270833334
0,0,raw,61,3,0.8009999999999999,0.7919108072916666
0,0,raw,62,3,0.873,0.8396809895833334
0,0,raw,63,3,0.195,0.215087890625
0,0,raw,64,3,0.275,0.426025390625
0,0,raw,65,3,0.9470000000000001,1.0
0,0,raw,66,3,0.902,1.0
0,0,raw,67,3,0.951,1.0
0,0,raw,68,3,0.9329999999999999,1.0
0,0,raw,69,3,0.9570000000000001,1.0
0,0,raw,70,3,0.355,0.427490234375
0,0,raw,71,3,0.31,0.529052734375
0,0,raw,72,3,0.317,0.529052734375
0,0,raw,73,3,0.35100000000000003,0.529052734375
0,0,raw,74,3,0.35200000000000004,0.529052734375
0,0,raw,75,3,0.23399999999999999,0.529052734375
0,0,raw,76,3,0.237,0.575927734375
0,0,raw,77,3,0.27699999999999997,0.575927734375
0,0,raw,78,3,0.276,0.575927734375
0,0,raw,79,3,0.23800000000000002,0.575927734375
0,1,satcap,0,0,0.19699999999999998,0.2701822916666667
0,1,satcap,1,0,0.23600000000000002,0.2725423177083333
0,1,satcap,2,0,0.276,0.2508138020833333
0,1,satcap,3,0,0.315,0.51904296875
0,1,satcap,4,0,0.358,0.2508138020833333
0,1,satcap,5,0,0.386,0.43310546875
0,1,satcap,6,0,0.373,0.6805013020833334
0,1,satcap,7,0,0.35200000000000004,0.6805013020833334
0,1,satcap,8,0,0.39799999999999996,0.6805013020833334
0,1,satcap,9,0,0.319,0.6805013020833334
0,1,satcap,10,0,0.358,0.6805013020833334
0,1,satcap,11,0,0.359,0.6805013020833334
0,1,satcap,12,0,0.319,0.6805013020833334
0,1,satcap,13,0,0.19899999999999998,0.6805013020833334
0,1,satcap,14,0,0.239,0.6805013020833334
0,1,satcap,15,0,0.19899999999999998,0.6805013020833334
0,1,satcap,16,0,0.239,0.6805013020833334
0,1,satcap,17,0,0.159,0.6805013020833334
0,1,satcap,18,0,0.159,0.6805013020833334
0,1,satcap,19,0,0.04,0.6805013020833334
