policy,provisioning_delay_epochs,metric,mean,ci_low,ci_high,seeds
snapshot,2,sla_violation_fraction,0.1450171883987019,0.12788934979526845,0.1640133985062619,100
snapshot,2,scale_fraction,0.647,0.610795,0.682205,100
snapshot,2,event_coverage_fraction,0.6931611470499897,0.653824056995639,0.7311487859210285,100
snapshot,2,worker_epoch_cost,197.05,191.61925,202.48074999999997,100
satcap,0,p95_latency_ms,17.413499999999996,16.33684999999999,18.546018749999995,100
satcap,0,p99_latency_ms,31.062350000000006,29.143278750000015,32.7778525,100
satcap,0,sla_violation_fraction,0.09149056360824652,0.08364667943736888,0.10092643185108523,100
satcap,0,scale_fraction,0.6118,0.5795949999999999,0.6417999999999999,100
satcap,0,event_coverage_fraction,0.7463564934997946,0.7157362647499996,0.7760449181941462,100
satcap,0,worker_epoch_cost,191.77,186.96925,196.51,100
satcap,1,p95_latency_ms,22.741749999999993,21.334293749999997,24.18976249999999,100
satcap,1,p99_latency_ms,36.89975,35.18164500000001,38.388627500000005,100
satcap,1,sla_violation_fraction,0.12761905506516322,0.11776939859415314,0.13764152572733576,100
satcap,1,scale_fraction,0.6093999999999999,0.5777949999999998,0.640205,100
satcap,1,event_coverage_fraction,0.7052096952915791,0.6757196569560842,0.7340525523320116,100
satcap,1,worker_epoch_cost,191.41,186.69924999999998,196.18075,100
satcap,2,p95_latency_ms,25.758499999999994,24.34358124999999,27.12406249999999,100
satcap,2,p99_latency_ms,39.01935000000001,37.39551250000002,40.39865875,100
satcap,2,sla_violation_fraction,0.15018745231307865,0.13973138891815945,0.161390166764167,100
satcap,2,scale_fraction,0.6080000000000001,0.5762,0.6397999999999999,100
satcap,2,event_coverage_fraction,0.6760576944943604,0.6451868412627448,0.7071673747910556,100
satcap,2,worker_epoch_cost,191.2,186.33925,196.27,100
