provider,miss_to_action_cost_ratio,policy,normalized_cost,miss_rate,action_rate
Alibaba 2018,2,maximum_count,0.375,0.16071428571428573,0.05357142857142857
Alibaba 2018,2,no_action,0.42857142857142855,0.21428571428571427,0.0
Alibaba 2018,2,reactive_previous_event,0.39285714285714285,0.08928571428571429,0.21428571428571427
Alibaba 2018,2,oracle_next_event,0.21428571428571427,0.0,0.21428571428571427
Alibaba 2018,5,snapshot,0.9464285714285715,0.17857142857142858,0.05357142857142857
Alibaba 2018,5,maximum,0.875,0.16071428571428573,0.07142857142857142
Alibaba 2018,5,two_snapshots,0.8928571428571429,0.16071428571428573,0.08928571428571429
Alibaba 2018,5,maximum_count,0.8571428571428572,0.16071428571428573,0.05357142857142857
Alibaba 2018,5,no_action,1.0714285714285714,0.21428571428571427,0.0
Alibaba 2018,5,reactive_previous_event,0.6607142857142857,0.08928571428571429,0.21428571428571427
Alibaba 2018,5,oracle_next_event,0.21428571428571427,0.0,0.21428571428571427
Alibaba 2018,10,snapshot,1.8392857142857144,0.17857142857142858,0.05357142857142857
Alibaba 2018,10,maximum,1.6785714285714286,0.16071428571428573,0.07142857142857142
Alibaba 2018,10,two_snapshots,1.6964285714285714,0.16071428571428573,0.08928571428571429
Alibaba 2018,10,maximum_count,1.6607142857142858,0.16071428571428573,0.05357142857142857
Alibaba 2018,10,no_action,2.142857142857143,0.21428571428571427,0.0
Alibaba 2018,10,reactive_previous_event,1.1071428571428572,0.08928571428571429,0.21428571428571427
Alibaba 2018,10,oracle_next_event,0.21428571428571427,0.0,0.21428571428571427
Alibaba 2018,20,snapshot,3.625,0.17857142857142858,0.05357142857142857
Alibaba 2018,20,maximum,3.285714285714286,0.16071428571428573,0.07142857142857142
Alibaba 2018,20,two_snapshots,3.303571428571429,0.16071428571428573,0.08928571428571429
Alibaba 2018,20,maximum_count,3.267857142857143,0.16071428571428573,0.05357142857142857
Alibaba 2018,20,no_action,4.285714285714286,0.21428571428571427,0.0
Alibaba 2018,20,reactive_previous_event,2.0,0.08928571428571429,0.21428571428571427
Alibaba 2018,20,oracle_next_event,0.21428571428571427,0.0,0.21428571428571427
Bitbrains VM panel,2,snapshot,0.021522057377586473,0.00679965914305067,0.007922739091485132
Bitbrains VM panel,2,maximum,0.020910262853147465,0.006397622741276466,0.008115017370594533
Bitbrains VM panel,2,two_snapshots,0.02069613476959381,0.006445692311053816,0.00780475014748618
Bitbrains VM panel,2,maximum_count,0.019843992396268054,0.005969366574169161,0.007905259247929732
Bitbrains VM panel,2,no_action,0.025581751043328164,0.012790875521664082,0.0
Bitbrains VM panel,2,reactive_previous_event,0.020224178993598005,0.0033430200799702842,0.013538138833657438
Bitbrains VM panel,2,oracle_next_event,0.012790875521664082,0.0,0.012790875521664082
Bitbrains VM panel,5,snapshot,0.04192103480673848,0.00679965914305067,0.007922739091485132
Bitbrains VM panel,5,maximum,0.040103131076976856,0.006397622741276466,0.008115017370594533
Bitbrains VM panel,5,two_snapshots,0.04003321170275526,0.006445692311053816,0.00780475014748618
Bitbrains VM panel,5,maximum_count,0.03775209211877554,0.005969366574169161,0.007905259247929732
Bitbrains VM panel,5,no_action,0.0639543776083204,0.012790875521664082,0.0
Bitbrains VM panel,5,reactive_previous_event,0.03025323923350886,0.0033430200799702842,0.013538138833657438
Bitbrains VM panel,5,oracle_next_event,0.012790875521664082,0.0,0.012790875521664082
Bitbrains VM panel,10,snapshot,0.07591933052199183,0.00679965914305067,0.007922739091485132
Bitbrains VM panel,10,maximum,0.07209124478335918,0.006397622741276466,0.008115017370594533
Bitbrains VM panel,10,two_snapshots,0.07226167325802434,0.006445692311053816,0.00780475014748618
Bitbrains VM panel,10,maximum_count,0.06759892498962135,0.005969366574169161,0.007905259247929732
Bitbrains VM panel,10,no_action,0.1279087552166408,0.012790875521664082,0.0
Bitbrains VM panel,10,reactive_previous_event,0.046968339633360286,0.0033430200799702842,0.013538138833657438
Bitbrains VM panel,10,oracle_next_event,0.012790875521664082,0.0,0.012790875521664082
Bitbrains VM panel,20,snapshot,0.14391592195249853,0.00679965914305067,0.007922739091485132
Bitbrains VM panel,20,maximum,0.13606747219612383,0.006397622741276466,0.008115017370594533
Bitbrains VM panel,20,two_snapshots,0.1367185963685625,0.006445692311053816,0.00780475014748618
Bitbrains VM panel,20,maximum_count,0.12729259073131297,0.005969366574169161,0.007905259247929732
Bitbrains VM panel,20,no_action,0.2558175104332816,0.012790875521664082,0.0
Bitbrains VM panel,20,reactive_previous_event,0.08039854043306313,0.0033430200799702842,0.013538138833657438
Bitbrains VM panel,20,oracle_next_event,0.012790875521664082,0.0,0.012790875521664082
