analysis,resource,feature_set,vm_count,ap_eligible_vm_count,bootstrap_replicates,mean_vm_ap_difference_vs_persistence,ap_difference_ci_low,ap_difference_ci_high,mean_vm_brier_improvement_vs_persistence,brier_improvement_ci_low,brier_improvement_ci_high
independent,memory,count,500,72,2000,0.028745227636061053,0.015219882039164974,0.04302511582386732,6.130540095972427e-05,-1.765796138727318e-05,0.00014946752334664632
independent,memory,maximum_count,500,72,2000,0.11140159077959863,0.08275149021666141,0.1424168745968166,0.00011095289009339948,3.8494086350847684e-05,0.00019622173236805761
frozen_transfer,memory,snapshot,500,72,2000,-0.003144800473909212,-0.030192459845268155,0.023224516826464685,-7.489326021457931e-05,-0.00014257490892850553,-1.7663363360244383e-05
frozen_transfer,memory,two_snapshots,500,72,2000,0.03880395348264172,0.011957421663220221,0.06399152872315333,-5.6978098889789514e-05,-0.00011494195363910143,-3.3146864243121385e-06
frozen_transfer,memory,maximum,500,72,2000,0.0950830527187473,0.07008285610612415,0.12315102016641462,8.148305394835503e-06,2.2475094161096462e-06,1.5718432474214844e-05
frozen_transfer,memory,count,500,72,2000,0.028745227636061053,0.015219882039164974,0.04302511582386732,4.755377228667196e-05,-2.575438736334341e-05,0.00012660822044959508
frozen_transfer,memory,maximum_count,500,72,2000,0.11140159077959863,0.08275149021666141,0.1424168745968166,8.741502529749025e-05,2.537594557654315e-05,0.0001620416059858858
independent,disk,snapshot,500,475,2000,0.008891445900420862,0.0031450610489302125,0.01490173950145978,-0.0014666714951783923,-0.0025654087842055394,-0.00042282426594978723
independent,disk,two_snapshots,500,475,2000,0.01895391887213186,0.013059197039176455,0.024864587682476205,0.0033274717192981083,0.0006020307387575476,0.006440134528249485
independent,disk,maximum,500,475,2000,0.03954679572026403,0.034463873538723204,0.04497333468683999,-7.81782549888971e-06,-3.891271341886905e-05,3.047292485481743e-05
independent,disk,count,500,475,2000,0.018080197880402823,0.015005722416934765,0.02148357921033622,0.005306870821987866,0.0019280742701395807,0.00925174657803022
independent,disk,maximum_count,500,475,2000,0.02723115261157276,0.02291805877778366,0.03150793926765097,0.005952294993853045,0.002643330626547563,0.010180228240425453
frozen_transfer,disk,snapshot,500,475,2000,0.008890331735807385,0.0031429160330496836,0.014900151417513986,-0.0017390978764753504,-0.0027712034069489132,-0.0007350936783905889
frozen_transfer,disk,two_snapshots,500,475,2000,0.021425480909115488,0.015405623755157286,0.027293834489327623,0.0030290177923669834,0.00032388461735801007,0.006068194124917364
frozen_transfer,disk,maximum,500,475,2000,0.03954679572026403,0.034463873538723204,0.04497333468683999,-1.7232799700268379e-06,-3.55383736915435e-05,4.142775999013614e-05
frozen_transfer,disk,count,500,475,2000,0.018080197880402823,0.015005722416934765,0.02148357921033622,0.005256114537500576,0.001949190352532667,0.009155586585050649
frozen_transfer,disk,maximum_count,500,475,2000,0.0272312726932147,0.02291805935982488,0.03150807055358639,0.005836761944944676,0.0025721808612660414,0.010014584687099015
independent,network,snapshot,500,424,2000,-0.002318930336017652,-0.00974941867716742,0.004363241183318258,-0.004094866794740098,-0.005156988794292165,-0.0031127086548918643
independent,network,two_snapshots,500,424,2000,0.016316042561451423,0.008947707783145485,0.023763446518338584,-0.000675841616912812,-0.0029868237641139323,0.001902937138859928
independent,network,maximum,500,424,2000,0.0066974497811312485,0.0027238846360018915,0.010850902073886524,-8.897208934646503e-05,-0.00012424135244795508,-5.686432838068714e-05
independent,network,count,500,424,2000,0.03522059352443477,0.030758287694997177,0.03959998411063255,0.0020598610928495003,-0.0005331405021378498,0.005029706117995785
independent,network,maximum_count,500,424,2000,0.047395488719711276,0.0418629598673656,0.05320106039212376,0.003981636717728955,0.0018801686608151266,0.006872780753355772
frozen_transfer,network,snapshot,500,424,2000,-0.04554472880103826,-0.05340969691695462,-0.037621899508980865,-0.0033587135533798395,-0.004687654786830685,-0.001986216901728357
frozen_transfer,network,two_snapshots,500,424,2000,0.014017404535092075,0.0066139960724565855,0.021398075480246977,-0.0009269390587875097,-0.003130008153218846,0.0016953471070053627
frozen_transfer,network,maximum,500,424,2000,0.006697389165962965,0.002723829253075553,0.010850986966600383,-0.00035970309452476584,-0.0004914971033941922,-0.00024185499868358066
frozen_transfer,network,count,500,424,2000,0.03522059352443477,0.030758287694997177,0.03959998411063255,0.0017008698094381396,-0.0008857133426019689,0.004584629941162413
frozen_transfer,network,maximum_count,500,424,2000,0.04815905213992759,0.04262749546577167,0.05398436861592519,0.0033621005312568153,0.0012720203318476737,0.006135471164355031
