provider,threshold_quantile,threshold,window_minutes,model,feature_set,train_n,test_n,test_events,average_precision,brier,mean_log_score,roc_auc,calibration_intercept,calibration_slope
Google 2019,0.95,0.528999460609866,60,hist_gradient_boosting,count,469,202,36,0.64081724611769,0.08454327034461341,-0.3046234785884283,0.8396921017402946,0.7124059364387931,1.5649028397169502
Google 2019,0.95,0.528999460609866,60,hist_gradient_boosting,maximum_event,469,202,36,0.7409839245007763,0.08240114440981511,-0.29267923344977365,0.8797690763052208,0.3018112388875255,1.2920469139095436
Google 2019,0.95,0.528999460609866,60,hist_gradient_boosting,maximum_count,469,202,36,0.7037957135354708,0.08613615099860307,-0.3031703290929846,0.861111111111111,0.32091877583421097,1.24141823161975
Google 2019,0.95,0.528999460609866,60,hist_gradient_boosting,satcap,469,202,36,0.7037957135354708,0.08613615099860307,-0.3031703290929846,0.861111111111111,0.32091877583421097,1.24141823161975
Alibaba 2018,0.95,0.5754546775895318,60,logistic,prior,129,56,12,0.21428571428571427,0.1683748943364328,-0.5196023934283919,0.5,0.006002669311921806,0.9921020480804245
Alibaba 2018,0.95,0.5754546775895318,60,logistic,persistence,129,56,12,0.4295634920634921,0.13248197182946345,-0.4275758629868497,0.7348484848484849,-0.17128623575253,0.8264328710512159
Alibaba 2018,0.95,0.5754546775895318,60,logistic,snapshot,129,56,12,0.6656084656084655,0.11435820749251367,-0.3681501524262957,0.865530303030303,-0.15359578644700733,1.232939716588512
Alibaba 2018,0.95,0.5754546775895318,60,logistic,two_snapshots,129,56,12,0.6218806048217813,0.12201842199144029,-0.37578847321499115,0.8484848484848484,-0.24309191534329905,0.9815314221644514
Alibaba 2018,0.95,0.5754546775895318,60,logistic,maximum,129,56,12,0.7176219205630969,0.10931367729589563,-0.33478412407466873,0.893939393939394,-0.021731132547586945,1.0318377917218078
Alibaba 2018,0.95,0.5754546775895318,60,logistic,count,129,56,12,0.4990079365079365,0.1274869013099987,-0.43070102212103084,0.7490530303030304,-0.2935379802273582,0.794210453035629
Alibaba 2018,0.95,0.5754546775895318,60,logistic,maximum_event,129,56,12,0.7176219205630969,0.11293879381515302,-0.34559601596069267,0.893939393939394,-0.10196851738527068,0.9394492953052563
Alibaba 2018,0.95,0.5754546775895318,60,logistic,maximum_count,129,56,12,0.7176219205630969,0.11302255092115678,-0.3510095209248344,0.893939393939394,-0.16220943747246877,0.8966000189144552
Alibaba 2018,0.95,0.5754546775895318,60,logistic,satcap,129,56,12,0.7176219205630969,0.1142734855900367,-0.3537057297265506,0.893939393939394,-0.16890476355155976,0.8843567754767728
Alibaba 2018,0.95,0.5754546775895318,60,hist_gradient_boosting,prior,129,56,12,0.21428571428571427,0.1683748943364328,-0.5196023934283919,0.5,0.006002669311921806,0.9921020480804245
Alibaba 2018,0.95,0.5754546775895318,60,hist_gradient_boosting,persistence,129,56,12,0.4295634920634921,0.13319112400513916,-0.4297886795431051,0.7348484848484849,-0.2092423476739131,0.7904805090791858
Alibaba 2018,0.95,0.5754546775895318,60,hist_gradient_boosting,snapshot,129,56,12,0.5961569162000196,0.13528181442845635,-0.419004760508415,0.8134469696969696,-0.44746955425165497,0.6932718646924335
Alibaba 2018,0.95,0.5754546775895318,60,hist_gradient_boosting,two_snapshots,129,56,12,0.5732554556647173,0.1363456431570349,-0.4290252221446075,0.8285984848484849,-0.45997717968706897,0.606157668754792
Alibaba 2018,0.95,0.5754546775895318,60,hist_gradient_boosting,maximum,129,56,12,0.5920894164937778,0.1253796214774256,-0.38470809853610677,0.8759469696969697,-0.36912906306630905,0.5924313007361633
Alibaba 2018,0.95,0.5754546775895318,60,hist_gradient_boosting,count,129,56,12,0.5128968253968254,0.12453394507372938,-0.4135969661386514,0.7500000000000001,-0.3817327845191211,0.7402866631796943
