seed,provisioning_delay_epochs,horizon_epochs,miss_to_action_cost_ratio,policy,test_epochs,severe_event_prevalence,training_severe_p95_threshold_ms,missed_event_fraction,event_coverage_fraction,action_rate,normalized_cost,threshold
20260727,2,3,50,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,2,3,50,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,4.06,
20260727,2,3,50,snapshot_tuned,50,0.08,46.00000000000003,0.0,1.0,0.7,0.7,0.06728008123759634
20260727,2,3,50,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.3,3.3,0.09862645189311617
20260727,2,3,50,delay_aware_hybrid,50,0.08,46.00000000000003,0.06,0.25,0.7,3.7,0.08933655893910339
20260727,2,3,100,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,8.0,
20260727,2,3,100,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,2,3,100,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,8.06,
20260727,2,3,100,snapshot_tuned,50,0.08,46.00000000000003,0.0,1.0,0.7,0.7,0.06728008123759634
20260727,2,3,100,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.3,6.3,0.09862645189311617
20260727,2,3,100,delay_aware_hybrid,50,0.08,46.00000000000003,0.06,0.25,0.7,6.7,0.08933655893910339
20260727,3,4,1,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,0.08,
20260727,3,4,1,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,3,4,1,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,0.14,
20260727,3,4,1,snapshot_tuned,50,0.08,46.00000000000003,0.08,0.0,0.0,0.08,1.0
20260727,3,4,1,satcap_tuned,50,0.08,46.00000000000003,0.08,0.0,0.0,0.08,1.0
20260727,3,4,1,delay_aware_hybrid,50,0.08,46.00000000000003,0.08,0.0,0.1,0.18,1.0
20260727,3,4,2,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,0.16,
20260727,3,4,2,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,3,4,2,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,0.22,
20260727,3,4,2,snapshot_tuned,50,0.08,46.00000000000003,0.08,0.0,0.0,0.16,1.0
20260727,3,4,2,satcap_tuned,50,0.08,46.00000000000003,0.08,0.0,0.0,0.16,1.0
20260727,3,4,2,delay_aware_hybrid,50,0.08,46.00000000000003,0.08,0.0,0.1,0.26,1.0
20260727,3,4,5,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,0.4,
20260727,3,4,5,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
